Ignore mouse detection:
[[Overwatch.exe!0x29962b0] + 0x1c8] + 0x13

Overwatch.exe!0x2cef4e0 "AcceptsTab"
Overwatch.exe!0x2ce4b98 "By"
Overwatch.exe!0x2ce8818 "By"
Overwatch.exe!0x2cebeb0 "By"
Overwatch.exe!0x2cec910 "By"
Overwatch.exe!0x2cefa70 "By"
Overwatch.exe!0x2ce8590 "CachedState"
Overwatch.exe!0x2ce8e60 "CanTakeForeground"
Overwatch.exe!0x2ce4448 "Cases"
Overwatch.exe!0x2cecdf0 "CenterX"
Overwatch.exe!0x2cecf40 "CenterX"
Overwatch.exe!0x2cee2b0 "CenterX"
Overwatch.exe!0x2cece00 "CenterY"
Overwatch.exe!0x2cecf50 "CenterY"
Overwatch.exe!0x2cee2c0 "CenterY"
Overwatch.exe!0x2cef350 "CharacterCasing"
Overwatch.exe!0x2cec1c8 "Child"
Overwatch.exe!0x2ceff58 "Children"
Overwatch.exe!0x2ce0b98 "ClickMode"
Overwatch.exe!0x2ce5b50 "Clip"
Overwatch.exe!0x2ce5b60 "ClipToBounds"
Overwatch.exe!0x2cebab8 "Color"
Overwatch.exe!0x2cee230 "Color"
Overwatch.exe!0x2cee6e0 "Color"
Overwatch.exe!0x2cf08b8 "Columns"
Overwatch.exe!0x2cf1ef8 "Columns"
Overwatch.exe!0x2ce0b58 "Command"
Overwatch.exe!0x2ce8f50 "Command"
Overwatch.exe!0x2ce0b68 "CommandParameter"
Overwatch.exe!0x2ce1848 "CommandParameter"
Overwatch.exe!0x2ce8f60 "CommandParameter"
Overwatch.exe!0x2ce0b78 "CommandTarget"
Overwatch.exe!0x2ce2b50 "Comparison"
Overwatch.exe!0x2ce44a8 "Comparison"
Overwatch.exe!0x2ce6988 "Comparison"
Overwatch.exe!0x2ced848 "ComputedHorizontalScrollBarVisibility"
Overwatch.exe!0x2ced858 "ComputedVerticalScrollBarVisibility"
Overwatch.exe!0x2ce2be0 "Condition"
Overwatch.exe!0x2ce2d48 "Conditions"
Overwatch.exe!0x2ce2ea0 "Content"
Overwatch.exe!0x2ce3d78 "Content"
Overwatch.exe!0x2ce2eb0 "ContentTemplate"
Overwatch.exe!0x2ce3d88 "ContentTemplate"
Overwatch.exe!0x2ceed10 "ContentTemplate"
Overwatch.exe!0x2ce2ec0 "ContentTemplateSelector"
Overwatch.exe!0x2ce3d98 "ContentTemplateSelector"
Overwatch.exe!0x2ceed20 "ContentTemplateSelector"
Overwatch.exe!0x2ce3720 "ContextMenu"
Overwatch.exe!0x2ce3b78 "ControlMediaOption"
Overwatch.exe!0x2ce3e88 "ControlStoryboardOption"
Overwatch.exe!0x2ce7300 "CrossBottomIcon"
Overwatch.exe!0x2ce7320 "CrossLeftIcon"
Overwatch.exe!0x2ce7310 "CrossRightIcon"
Overwatch.exe!0x2ce7330 "CrossTopIcon"
Overwatch.exe!0x2ce6250 "CurrentInputDevice"
Overwatch.exe!0x2ce6230 "CurrentLocale"
Overwatch.exe!0x2ce6240 "CurrentPlatform"
Overwatch.exe!0x2ce68b8 "CustomGame"
Overwatch.exe!0x2ce6918 "CustomGameAllowDatacenterSelect"
Overwatch.exe!0x2ce68c8 "CustomGameBrowsing"
Overwatch.exe!0x2ce72c0 "DPadDownIcon"
Overwatch.exe!0x2ce72e0 "DPadLeftIcon"
Overwatch.exe!0x2ce72d0 "DPadRightIcon"
Overwatch.exe!0x2ce72f0 "DPadUpIcon"
Overwatch.exe!0x2ce72a0 "DPadXIcon"
Overwatch.exe!0x2ce72b0 "DPadYIcon"
Overwatch.exe!0x2cebb58 "Data"
Overwatch.exe!0x2ce5c18 "DataContext"
Overwatch.exe!0x2ce6978 "DefaultValue"
Overwatch.exe!0x2ce6c90 "DelegateFocusToChild"
Overwatch.exe!0x2ceb598 "Delta"
Overwatch.exe!0x2cf2148 "Depth"
Overwatch.exe!0x2cedc38 "DesiredSegmentAmount"
Overwatch.exe!0x2ceefa0 "DestroyImmediately"
Overwatch.exe!0x2ce68d8 "DevFeatures"
Overwatch.exe!0x2ceba58 "DialogContent"
Overwatch.exe!0x2ceba48 "DialogTemplate"
Overwatch.exe!0x2ce1818 "DoubleLeftClickCommand"
Overwatch.exe!0x2ce1838 "DoubleMiddleClickCommand"
Overwatch.exe!0x2ce1828 "DoubleRightClickCommand"
Overwatch.exe!0x2ceef70 "DrawMode"
Overwatch.exe!0x2cdc400 "Duration"
Overwatch.exe!0x2ce8670 "Duration"
Overwatch.exe!0x2ceff08 "Duration"
Overwatch.exe!0x2ce1f60 "EasingFunction"
Overwatch.exe!0x2ce2260 "EasingFunction"
Overwatch.exe!0x2ce4ba8 "EasingFunction"
Overwatch.exe!0x2ce4f08 "EasingFunction"
Overwatch.exe!0x2ce8680 "EasingFunction"
Overwatch.exe!0x2ce8828 "EasingFunction"
Overwatch.exe!0x2ce8af8 "EasingFunction"
Overwatch.exe!0x2cebec0 "EasingFunction"
Overwatch.exe!0x2cec040 "EasingFunction"
Overwatch.exe!0x2cec920 "EasingFunction"
Overwatch.exe!0x2cecaa0 "EasingFunction"
Overwatch.exe!0x2cefa80 "EasingFunction"
Overwatch.exe!0x2cefc00 "EasingFunction"
Overwatch.exe!0x2ce5120 "EasingMode"
Overwatch.exe!0x2ceef50 "Effect"
Overwatch.exe!0x2ceef60 "EmissionShapes"
Overwatch.exe!0x2cdba58 "EndAngle"
Overwatch.exe!0x2cdc750 "EndAngle"
Overwatch.exe!0x2ce6718 "ExpandDirection"
Overwatch.exe!0x2ce5180 "Exponent"
Overwatch.exe!0x2ced898 "ExtentHeight"
Overwatch.exe!0x2ced888 "ExtentWidth"
Overwatch.exe!0x2ce40d0 "FalseState"
Overwatch.exe!0x2ce84a0 "FarManualScaleDistance"
Overwatch.exe!0x2cebc18 "Figures"
Overwatch.exe!0x2ceb058 "FileName"
Overwatch.exe!0x2ceda18 "Fill"
Overwatch.exe!0x2cee140 "Fill"
Overwatch.exe!0x2ce6968 "FilterValue"
Overwatch.exe!0x2ce7480 "FiredOn"
Overwatch.exe!0x2ce92d8 "FiredOn"
Overwatch.exe!0x2cf0818 "FiredOn"
Overwatch.exe!0x2cf08a8 "FirstColumn"
Overwatch.exe!0x2ce5ae0 "Focusable"
Overwatch.exe!0x2ce6b70 "FocusedElement"
Overwatch.exe!0x2ce6908 "ForceBroadcastMarginSettingEnabled"
Overwatch.exe!0x2ceef90 "ForcePreRoll"
Overwatch.exe!0x2ce2d58 "ForwardChaining"
Overwatch.exe!0x2cedbf8 "FrameBorderStroke"
Overwatch.exe!0x2cedc18 "FrameBorderStrokeShift"
Overwatch.exe!0x2cedc08 "FrameBorderThickness"
Overwatch.exe!0x2cedbc8 "FrameFill"
Overwatch.exe!0x2cedbd8 "FrameStroke"
Overwatch.exe!0x2cdc3c0 "Frequency"
Overwatch.exe!0x2ce4e28 "Frequency"
Overwatch.exe!0x2ce1f30 "From"
Overwatch.exe!0x2ce4b78 "From"
Overwatch.exe!0x2ce8650 "From"
Overwatch.exe!0x2ce87f8 "From"
Overwatch.exe!0x2cebe90 "From"
Overwatch.exe!0x2cec8f0 "From"
Overwatch.exe!0x2cefa50 "From"
Overwatch.exe!0x2cdc3f0 "Gain"
Overwatch.exe!0x2ce4e58 "Gain"
Overwatch.exe!0x2ce7460 "GamePadButton"
Overwatch.exe!0x2ce7180 "GamePadType"
Overwatch.exe!0x2cebd90 "GamepadIcon"
Overwatch.exe!0x2ce1338 "GreenOpacity"
Overwatch.exe!0x2ce1318 "GreenX"
Overwatch.exe!0x2ce1328 "GreenY"
Overwatch.exe!0x2ce9100 "HasItems"
Overwatch.exe!0x2ce3d48 "Header"
Overwatch.exe!0x2ce7868 "Header"
Overwatch.exe!0x2ce3d58 "HeaderTemplate"
Overwatch.exe!0x2ce7878 "HeaderTemplate"
Overwatch.exe!0x2ce3d68 "HeaderTemplateSelector"
Overwatch.exe!0x2ce7888 "HeaderTemplateSelector"
Overwatch.exe!0x2ce5a50 "Height"
Overwatch.exe!0x2ce5aa0 "HorizontalAlignment"
Overwatch.exe!0x2ce3a78 "HorizontalContentAlignment"
Overwatch.exe!0x2cdbd18 "HorizontalOffset"
Overwatch.exe!0x2cec208 "HorizontalOffset"
Overwatch.exe!0x2ced868 "HorizontalOffset"
Overwatch.exe!0x2ceb2a8 "Icon"
Overwatch.exe!0x2cecce0 "Identifier"
Overwatch.exe!0x2ce7d50 "ImageSource"
Overwatch.exe!0x2ce7eb0 "ImageSource"
Overwatch.exe!0x2ce11a8 "Increment"
Overwatch.exe!0x2ce7190 "Index"
Overwatch.exe!0x2ce6ca0 "InitialFocusElement"
Overwatch.exe!0x2ce84f0 "InnerRingMaxRadius"
Overwatch.exe!0x2ce1138 "IsBehind"
Overwatch.exe!0x2cf1128 "IsCanvasLayer"
Overwatch.exe!0x2ceb288 "IsCheckable"
Overwatch.exe!0x2ceb298 "IsChecked"
Overwatch.exe!0x2cf0058 "IsChecked"
Overwatch.exe!0x2cebbb8 "IsClosed"
Overwatch.exe!0x2ce62b0 "IsContextMenuOpen"
Overwatch.exe!0x2cee490 "IsDirectionReversed"
Overwatch.exe!0x2cf03a8 "IsDirectionReversed"
Overwatch.exe!0x2cefd60 "IsDragging"
Overwatch.exe!0x2ce41e8 "IsEnabled"
Overwatch.exe!0x2ce6a48 "IsEnabled"
Overwatch.exe!0x2ce7390 "IsEnabled"
Overwatch.exe!0x2ceda48 "IsEnabled"
Overwatch.exe!0x2cf05e8 "IsEnabled"
Overwatch.exe!0x2ce6728 "IsExpanded"
Overwatch.exe!0x2ce4a68 "IsFilled"
Overwatch.exe!0x2ce5af0 "IsFocused"
Overwatch.exe!0x2ce8e80 "IsForegroundWithin"
Overwatch.exe!0x2ce62a0 "IsGamePadActive"
Overwatch.exe!0x2ce2528 "IsHighlighted"
Overwatch.exe!0x2cec3a0 "IsIndeterminate"
Overwatch.exe!0x2ce6290 "IsKeyboardActive"
Overwatch.exe!0x2ce5b10 "IsKeyboardFocusWithin"
Overwatch.exe!0x2ce5b00 "IsKeyboardFocused"
Overwatch.exe!0x2ce5be0 "IsManipulationEnabled"
Overwatch.exe!0x2cf10e8 "IsModal"
Overwatch.exe!0x2ce5ac0 "IsMouseOver"
Overwatch.exe!0x2ce5ad0 "IsMouseVisuallyOver"
Overwatch.exe!0x2cee4c0 "IsMoveToPointEnabled"
Overwatch.exe!0x2ce73a0 "IsOnlyActiveOnFocus"
Overwatch.exe!0x2cf0138 "IsOpen"
Overwatch.exe!0x2ce6280 "IsPlatformConsole"
Overwatch.exe!0x2ce6270 "IsPlatformPC"
Overwatch.exe!0x2ce0b88 "IsPressed"
Overwatch.exe!0x2ceb278 "IsPressed"
Overwatch.exe!0x2cee4a0 "IsSnapToTickEnabled"
Overwatch.exe!0x2ce71a0 "IsType1Controller"
Overwatch.exe!0x2ce71b0 "IsType2Controller"
Overwatch.exe!0x2cdccd8 "ItemContainerStyle"
Overwatch.exe!0x2ce90d0 "ItemContainerStyle"
Overwatch.exe!0x2ce1c00 "ItemCount"
Overwatch.exe!0x2ce8ff0 "ItemForItemContainer"
Overwatch.exe!0x2cf21d8 "ItemHeight"
Overwatch.exe!0x2cdcce8 "ItemTemplate"
Overwatch.exe!0x2ce90b0 "ItemTemplate"
Overwatch.exe!0x2ce90c0 "ItemTemplateSelector"
Overwatch.exe!0x2cf21c8 "ItemWidth"
Overwatch.exe!0x2cf2238 "ItemsHorizontalAlignment"
Overwatch.exe!0x2ce90e0 "ItemsPanel"
Overwatch.exe!0x2cdccb8 "ItemsSource"
Overwatch.exe!0x2ce90a0 "ItemsSource"
Overwatch.exe!0x2ce92a8 "Key"
Overwatch.exe!0x2cde478 "KeyTime"
Overwatch.exe!0x2ce2240 "KeyTime"
Overwatch.exe!0x2ce4ee8 "KeyTime"
Overwatch.exe!0x2ce8ad8 "KeyTime"
Overwatch.exe!0x2ceb948 "KeyTime"
Overwatch.exe!0x2cec020 "KeyTime"
Overwatch.exe!0x2ceca80 "KeyTime"
Overwatch.exe!0x2ceeb70 "KeyTime"
Overwatch.exe!0x2cefbe0 "KeyTime"
Overwatch.exe!0x2cebd80 "KeyboardText"
Overwatch.exe!0x2cec850 "LargeChange"
Overwatch.exe!0x2ce4ab8 "LastChildFill"
Overwatch.exe!0x2ce2678 "Layers"
Overwatch.exe!0x2cede80 "LeadingMargin"
Overwatch.exe!0x2ce0d70 "Left"
Overwatch.exe!0x2ce17e8 "LeftClickCommand"
Overwatch.exe!0x2ce25b8 "LeftOperand"
Overwatch.exe!0x2ce7260 "LeftShoulderIcon"
Overwatch.exe!0x2ce7210 "LeftStickButtonIcon"
Overwatch.exe!0x2ce71e0 "LeftStickIcon"
Overwatch.exe!0x2ce71f0 "LeftStickXIcon"
Overwatch.exe!0x2ce7200 "LeftStickYIcon"
Overwatch.exe!0x2ce7270 "LeftTriggerIcon"
Overwatch.exe!0x2cdccc8 "ListBoxStyle"
Overwatch.exe!0x2ceb008 "LoadedBehavior"
Overwatch.exe!0x2ce0ef0 "Loop"
Overwatch.exe!0x2ceb068 "Looping"
Overwatch.exe!0x2cedc28 "LostSegmentFill"
Overwatch.exe!0x2ce5a90 "Margin"
Overwatch.exe!0x2ce4958 "MarkerSpacing"
Overwatch.exe!0x2ce4968 "MarkerStyle"
Overwatch.exe!0x2ce23b0 "MaxDropDownHeight"
Overwatch.exe!0x2ce5a70 "MaxHeight"
Overwatch.exe!0x2cef360 "MaxLength"
Overwatch.exe!0x2ce84c0 "MaxScale"
Overwatch.exe!0x2ce5a30 "MaxWidth"
Overwatch.exe!0x2ce4748 "Maximum"
Overwatch.exe!0x2ce4938 "Maximum"
Overwatch.exe!0x2cec830 "Maximum"
Overwatch.exe!0x2ce1808 "MiddleClickCommand"
Overwatch.exe!0x2ce5a60 "MinHeight"
Overwatch.exe!0x2ce84b0 "MinScale"
Overwatch.exe!0x2ce5a20 "MinWidth"
Overwatch.exe!0x2cec820 "Minimum"
Overwatch.exe!0x2ce92b8 "Modifiers"
Overwatch.exe!0x2cf07f8 "Modifiers"
Overwatch.exe!0x2ce1bf0 "Name"
Overwatch.exe!0x2ceb7d8 "NameScope"
Overwatch.exe!0x2ce8480 "NaturalScaleDistance"
Overwatch.exe!0x2ceb610 "NavigationDirection"
Overwatch.exe!0x2ce8490 "NearManualScaleDistance"
Overwatch.exe!0x2ce0f48 "NextTemplate"
Overwatch.exe!0x2cdc3e0 "Octaves"
Overwatch.exe!0x2ce4e48 "Octaves"
Overwatch.exe!0x2ced0a8 "Offset"
Overwatch.exe!0x2ce7ec0 "OffsetX"
Overwatch.exe!0x2ce7ed0 "OffsetY"
Overwatch.exe!0x2ceec38 "OneTime"
Overwatch.exe!0x2ce09a8 "Opacity"
Overwatch.exe!0x2ce2a90 "Opacity"
Overwatch.exe!0x2ce5b20 "Opacity"
Overwatch.exe!0x2ce25c8 "Operator"
Overwatch.exe!0x2ce4948 "Orientation"
Overwatch.exe!0x2cec3b0 "Orientation"
Overwatch.exe!0x2cec5a8 "Orientation"
Overwatch.exe!0x2ced368 "Orientation"
Overwatch.exe!0x2cee480 "Orientation"
Overwatch.exe!0x2cee760 "Orientation"
Overwatch.exe!0x2cf0388 "Orientation"
Overwatch.exe!0x2cf0938 "Orientation"
Overwatch.exe!0x2cf1e78 "Orientation"
Overwatch.exe!0x2ce5160 "Oscillations"
Overwatch.exe!0x2ce84e0 "OuterEdgeMargin"
Overwatch.exe!0x2cde558 "Padding"
Overwatch.exe!0x2ce15b8 "Padding"
Overwatch.exe!0x2ce3a98 "Padding"
Overwatch.exe!0x2cec1d8 "Placement"
Overwatch.exe!0x2cec1f8 "PlacementRectangle"
Overwatch.exe!0x2ce3750 "PlacementTarget"
Overwatch.exe!0x2cec1e8 "PlacementTarget"
Overwatch.exe!0x2ce8500 "PositionOverride"
Overwatch.exe!0x2ce5190 "Power"
Overwatch.exe!0x2ce0f38 "PreviousTemplate"
Overwatch.exe!0x2cdc838 "ProgressBarStyle"
Overwatch.exe!0x2ce8460 "ProjectionMatrix"
Overwatch.exe!0x2ce1188 "PropertyName"
Overwatch.exe!0x2cecbc0 "RadiusX"
Overwatch.exe!0x2cecc50 "RadiusX"
Overwatch.exe!0x2cecbd0 "RadiusY"
Overwatch.exe!0x2cecc60 "RadiusY"
Overwatch.exe!0x2ce2688 "RasterCacheEnabled"
Overwatch.exe!0x2ce7340 "RawCrossBottomIcon"
Overwatch.exe!0x2ce7350 "RawCrossRightIcon"
Overwatch.exe!0x2cecc70 "Rect"
Overwatch.exe!0x2cedb98 "RectangleRadiusX"
Overwatch.exe!0x2cedba8 "RectangleRadiusY"
Overwatch.exe!0x2ce1308 "RedOpacity"
Overwatch.exe!0x2ce12e8 "RedX"
Overwatch.exe!0x2ce12f8 "RedY"
Overwatch.exe!0x2ce5b30 "RenderTransform"
Overwatch.exe!0x2ce5b40 "RenderTransformOrigin"
Overwatch.exe!0x2ceff18 "RepeatBehavior"
Overwatch.exe!0x2cf10f8 "RequiresMouse"
Overwatch.exe!0x2cedbb8 "ResetID"
Overwatch.exe!0x2ce0d90 "Right"
Overwatch.exe!0x2ce17f8 "RightClickCommand"
Overwatch.exe!0x2ce25d8 "RightOperand"
Overwatch.exe!0x2ce7280 "RightShoulderIcon"
Overwatch.exe!0x2ce7250 "RightStickButtonIcon"
Overwatch.exe!0x2ce7220 "RightStickIcon"
Overwatch.exe!0x2ce7230 "RightStickXIcon"
Overwatch.exe!0x2ce7240 "RightStickYIcon"
Overwatch.exe!0x2ce7290 "RightTriggerIcon"
Overwatch.exe!0x2cf08c8 "Rows"
Overwatch.exe!0x2cf1f08 "Rows"
Overwatch.exe!0x2ce62e0 "SafeZoneMargin"
Overwatch.exe!0x2ce6300 "SafeZoneMarginHeight"
Overwatch.exe!0x2ce62f0 "SafeZoneMarginWidth"
Overwatch.exe!0x2cecf20 "ScaleX"
Overwatch.exe!0x2cecf30 "ScaleY"
Overwatch.exe!0x2cecfc8 "ScreenPosition"
Overwatch.exe!0x2cefe40 "ScrollSpeed"
Overwatch.exe!0x2ced8b8 "ScrollableHeight"
Overwatch.exe!0x2ced8a8 "ScrollableWidth"
Overwatch.exe!0x2cede60 "SegmentCount"
Overwatch.exe!0x2cedb88 "SegmentMargin"
Overwatch.exe!0x2cedb78 "SegmentSources"
Overwatch.exe!0x2cede70 "SegmentThickness"
Overwatch.exe!0x2ceed30 "SelectedContent"
Overwatch.exe!0x2ceed40 "SelectedContentTemplate"
Overwatch.exe!0x2ceed50 "SelectedContentTemplateSelector"
Overwatch.exe!0x2cedf80 "SelectedIndex"
Overwatch.exe!0x2cedf90 "SelectedItem"
Overwatch.exe!0x2cedfa0 "SelectedValue"
Overwatch.exe!0x2cedfb0 "SelectedValuePath"
Overwatch.exe!0x2ce23e8 "SelectionBoxItem"
Overwatch.exe!0x2ce23f8 "SelectionBoxItemTemplate"
Overwatch.exe!0x2cee020 "SeparatorStyle"
Overwatch.exe!0x2ce62c0 "ShowMode"
Overwatch.exe!0x2ce6898 "ShowMode"
Overwatch.exe!0x2ceefb0 "Skin"
Overwatch.exe!0x2ceef80 "SkipTime"
Overwatch.exe!0x2cee608 "SliderWidth"
Overwatch.exe!0x2cec860 "SmallChange"
Overwatch.exe!0x2ced988 "SmoothScrollDuration"
Overwatch.exe!0x2ced978 "SmoothScrollEasingFunction"
Overwatch.exe!0x2ce3df8 "Sound"
Overwatch.exe!0x2ce1d60 "Source"
Overwatch.exe!0x2ce7c60 "Source"
Overwatch.exe!0x2ceb0c8 "Source"
Overwatch.exe!0x2cebe00 "Source"
Overwatch.exe!0x2ce6550 "SourceObject"
Overwatch.exe!0x2ceff28 "SpeedRatio"
Overwatch.exe!0x2ce5170 "Springiness"
Overwatch.exe!0x2cdc740 "StartAngle"
Overwatch.exe!0x2ce71d0 "StartIcon"
Overwatch.exe!0x2ce41c8 "State"
Overwatch.exe!0x2cec228 "StaysOpen"
Overwatch.exe!0x2cee880 "Storyboard"
Overwatch.exe!0x2cf1f68 "Storyboard"
Overwatch.exe!0x2cee130 "Stretch"
Overwatch.exe!0x2cefdd0 "Stretch"
Overwatch.exe!0x2cf1210 "Stretch"
Overwatch.exe!0x2cf1220 "StretchDirection"
Overwatch.exe!0x2ceda28 "Stroke"
Overwatch.exe!0x2cee150 "Stroke"
Overwatch.exe!0x2cee170 "StrokeDashOffset"
Overwatch.exe!0x2cee160 "StrokeThickness"
Overwatch.exe!0x2ce5b70 "Style"
Overwatch.exe!0x2ce6310 "SystemTime"
Overwatch.exe!0x2ce95f8 "TabOnceActiveElement"
Overwatch.exe!0x2ce5c28 "Tag"
Overwatch.exe!0x2ce5df8 "TankEffect"
Overwatch.exe!0x2ce6028 "TankPointer"
Overwatch.exe!0x2ce6ab0 "TargetElement"
Overwatch.exe!0x2ceb9b8 "TargetElement"
Overwatch.exe!0x2ceba38 "TargetElement"
Overwatch.exe!0x2ced8e8 "TargetHorizontalOffset"
Overwatch.exe!0x2ce3b68 "TargetMediaElement"
Overwatch.exe!0x2cee810 "TargetName"
Overwatch.exe!0x2cef0b0 "TargetObject"
Overwatch.exe!0x2cdc3b0 "TargetProperty"
Overwatch.exe!0x2cee820 "TargetProperty"
Overwatch.exe!0x2ced8f8 "TargetVerticalOffset"
Overwatch.exe!0x2ceefc0 "TeamColor"
Overwatch.exe!0x2ce3aa8 "Template"
Overwatch.exe!0x2ce91d8 "Template"
Overwatch.exe!0x2ce2ae0 "TestParamW"
Overwatch.exe!0x2ce2ab0 "TestParamX"
Overwatch.exe!0x2ce2ac0 "TestParamY"
Overwatch.exe!0x2ce2ad0 "TestParamZ"
Overwatch.exe!0x2cef270 "TextTrimming"
Overwatch.exe!0x2cef260 "TextWrapping"
Overwatch.exe!0x2cdba68 "Threshold"
Overwatch.exe!0x2cee4b0 "TickFrequency"
Overwatch.exe!0x2cefde0 "TileMode"
Overwatch.exe!0x2ce1f40 "To"
Overwatch.exe!0x2ce4b88 "To"
Overwatch.exe!0x2ce8660 "To"
Overwatch.exe!0x2ce8808 "To"
Overwatch.exe!0x2cebea0 "To"
Overwatch.exe!0x2cec900 "To"
Overwatch.exe!0x2cefa60 "To"
Overwatch.exe!0x2cf0208 "ToolTip"
Overwatch.exe!0x2ce0d80 "Top"
Overwatch.exe!0x2cedc48 "TotalAmount"
Overwatch.exe!0x2ce68a8 "TournamentMode"
Overwatch.exe!0x2cede90 "TrailingMargin"
Overwatch.exe!0x2ce7548 "Transform"
Overwatch.exe!0x2ce8580 "TransitionProgress"
Overwatch.exe!0x2ce40c0 "TrueState"
Overwatch.exe!0x2cebda0 "UXLogicalButton"
Overwatch.exe!0x2cf07e8 "UXLogicalButton"
Overwatch.exe!0x2ce30d0 "UncheckedContent"
Overwatch.exe!0x2ce30e0 "UncheckedContentTemplate"
Overwatch.exe!0x2ce30f0 "UncheckedContentTemplateSelector"
Overwatch.exe!0x2ce41f8 "UseTransitions"
Overwatch.exe!0x2ce4428 "UseTransitions"
Overwatch.exe!0x2ce75e0 "UseTransitions"
Overwatch.exe!0x2cde488 "Value"
Overwatch.exe!0x2ce1198 "Value"
Overwatch.exe!0x2ce2250 "Value"
Overwatch.exe!0x2ce2b40 "Value"
Overwatch.exe!0x2ce40b0 "Value"
Overwatch.exe!0x2ce41d8 "Value"
Overwatch.exe!0x2ce4498 "Value"
Overwatch.exe!0x2ce4ef8 "Value"
Overwatch.exe!0x2ce8ae8 "Value"
Overwatch.exe!0x2ceb958 "Value"
Overwatch.exe!0x2cec030 "Value"
Overwatch.exe!0x2cec840 "Value"
Overwatch.exe!0x2ceca90 "Value"
Overwatch.exe!0x2cede50 "Value"
Overwatch.exe!0x2ceeb80 "Value"
Overwatch.exe!0x2cefbf0 "Value"
Overwatch.exe!0x2ce5ab0 "VerticalAlignment"
Overwatch.exe!0x2ce3a88 "VerticalContentAlignment"
Overwatch.exe!0x2cdbd28 "VerticalOffset"
Overwatch.exe!0x2cec218 "VerticalOffset"
Overwatch.exe!0x2ced878 "VerticalOffset"
Overwatch.exe!0x2ce1d70 "View"
Overwatch.exe!0x2ce4758 "View"
Overwatch.exe!0x2ce8450 "ViewMatrix"
Overwatch.exe!0x2ced8d8 "ViewportHeight"
Overwatch.exe!0x2ced378 "ViewportSize"
Overwatch.exe!0x2cf0398 "ViewportSize"
Overwatch.exe!0x2ced8c8 "ViewportWidth"
Overwatch.exe!0x2ce5b80 "Visibility"
Overwatch.exe!0x2ce1378 "WaveHeight"
Overwatch.exe!0x2ce1388 "WaveSpeed"
Overwatch.exe!0x2ce1398 "WaveWidth"
Overwatch.exe!0x2ce5a10 "Width"
Overwatch.exe!0x2ce8470 "WorldPosition"
Overwatch.exe!0x2cf0540 "X"
Overwatch.exe!0x2cf0550 "Y"
Overwatch.exe!0x2cebaf8 "ZIndex"

# dump encrypted strings

* `""`
* `"\t\tDevice context destroyed."`
* `"\t%.4f %.4f %.4f %.4f\n"`
* `"\tDestroyed depth buffers"`
* `"\tDestroyed frame timers"`
* `"\tDestroyed movie player memory"`
* `"\tDestroyed satellite window resources"`
* `"\tDestroyed texture pool resources"`
* `"\tDestroyed vertex format stacks"`
* `"\tDestroying device context..."`
