engine.dll!003D7008 IEngineSoundClient003
server.dll!0098CEBC ServerGameTags001
server.dll!0098D594 ServerGameTags001
server.dll!0098D8EC ServerGameTags001
server.dll!0098D914 ServerGameTags001
server.dll!0098DA20 ServerGameTags001
server.dll!0098DA2C ServerGameTags001
server.dll!0098DA68 ServerGameTags001
server.dll!0098DA98 ServerGameTags001
server.dll!0098DAB4 ServerGameTags001
server.dll!0098DC1C ServerGameTags001
server.dll!009905F0 ServerGameTags001
server.dll!0099081C VSERVERCHOREOTOOLS001
server.dll!00990818 VSERVERTOOLS001
server.dll!00990818 VSERVERTOOLS002
server.dll!00990818 VSERVERTOOLS003
Class { network_name: "CBaseCombatWeapon", class_id: 0, size_of: 2816 }
Class { network_name: "CBaseGrenade", class_id: 0, size_of: 2264 }
Class { network_name: "CBaseParticleEntity", class_id: 0, size_of: 1592 }
Class { network_name: "CBaseProjectile", class_id: 0, size_of: 2224 }
Class { network_name: "CBaseViewModel", class_id: 0, size_of: 2288 }
Class { network_name: "CBeam", class_id: 0, size_of: 1528 }
Class { network_name: "CAI_BaseNPC", class_id: 0, size_of: 3560 }
Class { network_name: "CBaseAnimating", class_id: 0, size_of: 2216 }
Class { network_name: "CBoneFollower", class_id: 0, size_of: 1368 }
Class { network_name: "CInfoLightingRelative", class_id: 0, size_of: 1368 }
Class { network_name: "CBaseAnimatingOverlay", class_id: 0, size_of: 2320 }
Class { network_name: "CBaseCombatCharacter", class_id: 0, size_of: 3528 }
Class { network_name: "CBaseDoor", class_id: 0, size_of: 1368 }
Class { network_name: "CBaseEntity", class_id: 0, size_of: 0 }
Class { network_name: "CBaseFlex", class_id: 0, size_of: 3184 }
Class { network_name: "CBasePlayer", class_id: 0, size_of: 5208 }
Class { network_name: "CBreakableProp", class_id: 0, size_of: 2216 }
Class { network_name: "CColorCorrection", class_id: 0, size_of: 1656 }
Class { network_name: "CColorCorrectionVolume", class_id: 0, size_of: 1632 }
Class { network_name: "CDynamicLight", class_id: 0, size_of: 1392 }
Class { network_name: "CEntityDissolve", class_id: 0, size_of: 1448 }
Class { network_name: "CEntityParticleTrail", class_id: 0, size_of: 1632 }
Class { network_name: "CFogController", class_id: 0, size_of: 1432 }
Class { network_name: "CEnvParticleScript", class_id: 0, size_of: 2456 }
Class { network_name: "CEnvProjectedTexture", class_id: 0, size_of: 1672 }
Class { network_name: "CEnvScreenEffect", class_id: 0, size_of: 1368 }
Class { network_name: "CEnvScreenOverlay", class_id: 0, size_of: 3976 }
Class { network_name: "CEnvTonemapController", class_id: 0, size_of: 1384 }
Class { network_name: "CEntityFlame", class_id: 0, size_of: 1376 }
Class { network_name: "CFireSmoke", class_id: 0, size_of: 13184 }
Class { network_name: "CFish", class_id: 0, size_of: 2424 }
Class { network_name: "CFuncAreaPortalWindow", class_id: 0, size_of: 1376 }
Class { network_name: "CBreakableSurface", class_id: 0, size_of: 2432 }
Class { network_name: "CFuncConveyor", class_id: 0, size_of: 1368 }
Class { network_name: "CFunc_Dust", class_id: 0, size_of: 1672 }
Class { network_name: "CTEDust", class_id: 0, size_of: 0 }
Class { network_name: "CFunc_LOD", class_id: 0, size_of: 1368 }
Class { network_name: "CFuncMonitor", class_id: 0, size_of: 1360 }
Class { network_name: "CFuncOccluder", class_id: 0, size_of: 1368 }
Class { network_name: "CFuncReflectiveGlass", class_id: 0, size_of: 1368 }
Class { network_name: "CFuncRotating", class_id: 0, size_of: 1360 }
Class { network_name: "CFuncSmokeVolume", class_id: 0, size_of: 1976 }
Class { network_name: "CFuncTrackTrain", class_id: 0, size_of: 1376 }
Class { network_name: "CInfoOverlayAccessor", class_id: 0, size_of: 1368 }
Class { network_name: "CLightGlow", class_id: 0, size_of: 1592 }
Class { network_name: "CMaterialModifyControl", class_id: 0, size_of: 2184 }
Class { network_name: "CParticleSystem", class_id: 0, size_of: 1688 }
Class { network_name: "CPhysBox", class_id: 0, size_of: 1368 }
Class { network_name: "CPhysicsProp", class_id: 0, size_of: 2224 }
Class { network_name: "CPhysMagnet", class_id: 0, size_of: 2256 }
Class { network_name: "CPlasma", class_id: 0, size_of: 11768 }
Class { network_name: "CPlayerResource", class_id: 0, size_of: 2560 }
Class { network_name: "CPointCamera", class_id: 0, size_of: 1400 }
Class { network_name: "CPointCommentaryNode", class_id: 0, size_of: 3024 }
Class { network_name: "CPhysBoxMultiplayer", class_id: 0, size_of: 1384 }
Class { network_name: "CPhysicsPropMultiplayer", class_id: 0, size_of: 2264 }
Class { network_name: "CBasePropDoor", class_id: 0, size_of: 2248 }
Class { network_name: "CDynamicProp", class_id: 0, size_of: 2248 }
Class { network_name: "CRagdollManager", class_id: 0, size_of: 1368 }
Class { network_name: "CRopeKeyframe", class_id: 0, size_of: 2248 }
Class { network_name: "CSceneEntity", class_id: 0, size_of: 1440 }
Class { network_name: "CShadowControl", class_id: 0, size_of: 1384 }
Class { network_name: "CSlideshowDisplay", class_id: 0, size_of: 1696 }
Class { network_name: "CSpotlightEnd", class_id: 0, size_of: 1376 }
Class { network_name: "CParticlePerformanceMonitor", class_id: 0, size_of: 1368 }
Class { network_name: "CSun", class_id: 0, size_of: 1736 }
Class { network_name: "CTeam", class_id: 0, size_of: 1440 }
Class { network_name: "CBaseTeamObjectiveResource", class_id: 0, size_of: 6688 }
Class { network_name: "CTeamTrainWatcher", class_id: 0, size_of: 1408 }
Class { network_name: "CTesla", class_id: 0, size_of: 1720 }
Class { network_name: "CTest_ProxyToggle_Networkable", class_id: 0, size_of: 1368 }
Class { network_name: "CPropVehicleChoreoGeneric", class_id: 0, size_of: 2448 }
Class { network_name: "CPropJeep", class_id: 0, size_of: 2552 }
Class { network_name: "CVGuiScreen", class_id: 0, size_of: 1512 }
Class { network_name: "CVoteController", class_id: 0, size_of: 1408 }
Class { network_name: "CWaterBullet", class_id: 0, size_of: 2232 }
Class { network_name: "CWaterLODControl", class_id: 0, size_of: 1368 }
Class { network_name: "CWorld", class_id: 0, size_of: 0 }
Class { network_name: "CEnvDetailController", class_id: 0, size_of: 1368 }
Class { network_name: "CFuncLadder", class_id: 0, size_of: 1424 }
Class { network_name: "CInfoLadderDismount", class_id: 0, size_of: 1360 }
Class { network_name: "CGameRulesProxy", class_id: 0, size_of: 1360 }
Class { network_name: "CPoseController", class_id: 0, size_of: 1448 }
Class { network_name: "CRagdollPropAttached", class_id: 0, size_of: 3064 }
Class { network_name: "CRagdollProp", class_id: 0, size_of: 3008 }
Class { network_name: "CSprite", class_id: 0, size_of: 1456 }
Class { network_name: "CSpriteOriented", class_id: 0, size_of: 1456 }
Class { network_name: "CSpriteTrail", class_id: 0, size_of: 7704 }
Class { network_name: "CTeamRoundTimer", class_id: 0, size_of: 1432 }
Class { network_name: "CTeamplayRoundBasedRulesProxy", class_id: 0, size_of: 1360 }
Class { network_name: "CHandleTest", class_id: 0, size_of: 1368 }
Class { network_name: "CBaseAttributableItem", class_id: 0, size_of: 2640 }
Class { network_name: "CEconEntity", class_id: 0, size_of: 2640 }
Class { network_name: "CEconWearable", class_id: 0, size_of: 2648 }
Class { network_name: "CTFWearableItem", class_id: 0, size_of: 2648 }
Class { network_name: "CTFWearable", class_id: 0, size_of: 2696 }
Class { network_name: "CTFWearableVM", class_id: 0, size_of: 2696 }
Class { network_name: "CWeaponIFMBase", class_id: 0, size_of: 3144 }
Class { network_name: "CWeaponIFMBaseCamera", class_id: 0, size_of: 3232 }
Class { network_name: "CWeaponIFMSteadyCam", class_id: 0, size_of: 3304 }
Class { network_name: "CBaseTempEntity", class_id: 0, size_of: 0 }
Class { network_name: "CPrecipitation", class_id: 0, size_of: 1504 }
Class { network_name: "CEmbers", class_id: 0, size_of: 1392 }
Class { network_name: "CEnvWind", class_id: 0, size_of: 1888 }
Class { network_name: "CEnvQuadraticBeam", class_id: 0, size_of: 1392 }
Class { network_name: "CTEGaussExplosion", class_id: 0, size_of: 0 }
Class { network_name: "MovieExplosion", class_id: 0, size_of: 3416 }
Class { network_name: "CParticleFire", class_id: 0, size_of: 5224 }
Class { network_name: "ParticleSmokeGrenade", class_id: 0, size_of: 5832 }
Class { network_name: "CPropVehicleDriveable", class_id: 0, size_of: 2488 }
Class { network_name: "DustTrail", class_id: 0, size_of: 1752 }
Class { network_name: "CFireTrail", class_id: 0, size_of: 1672 }
Class { network_name: "RocketTrail", class_id: 0, size_of: 1720 }
Class { network_name: "SmokeTrail", class_id: 0, size_of: 1712 }
Class { network_name: "SporeExplosion", class_id: 0, size_of: 1648 }
Class { network_name: "SporeTrail", class_id: 0, size_of: 1744 }
Class { network_name: "CSmokeStack", class_id: 0, size_of: 1856 }
Class { network_name: "CSteamJet", class_id: 0, size_of: 1744 }
Class { network_name: "CTEArmorRicochet", class_id: 0, size_of: 0 }
Class { network_name: "CTEMetalSparks", class_id: 0, size_of: 0 }
Class { network_name: "CTEBaseBeam", class_id: 0, size_of: 76 }
Class { network_name: "CTEBeamEntPoint", class_id: 0, size_of: 0 }
Class { network_name: "CTEBeamEnts", class_id: 0, size_of: 0 }
Class { network_name: "CTEBeamFollow", class_id: 0, size_of: 0 }
Class { network_name: "CTEBeamLaser", class_id: 0, size_of: 0 }
Class { network_name: "CTEBeamPoints", class_id: 0, size_of: 0 }
Class { network_name: "CTEBeamRing", class_id: 0, size_of: 0 }
Class { network_name: "CTEBeamRingPoint", class_id: 0, size_of: 0 }
Class { network_name: "CTEBeamSpline", class_id: 0, size_of: 0 }
Class { network_name: "CTEBloodSprite", class_id: 0, size_of: 0 }
Class { network_name: "CTEBloodStream", class_id: 0, size_of: 0 }
Class { network_name: "CTEBreakModel", class_id: 0, size_of: 0 }
Class { network_name: "CTEBSPDecal", class_id: 0, size_of: 0 }
Class { network_name: "CTEBubbles", class_id: 0, size_of: 0 }
Class { network_name: "CTEBubbleTrail", class_id: 0, size_of: 0 }
Class { network_name: "CTEClientProjectile", class_id: 0, size_of: 0 }
Class { network_name: "CTEDecal", class_id: 0, size_of: 0 }
Class { network_name: "CTEDynamicLight", class_id: 0, size_of: 0 }
Class { network_name: "CTEEffectDispatch", class_id: 0, size_of: 0 }
Class { network_name: "CTEEnergySplash", class_id: 0, size_of: 0 }
Class { network_name: "CTEExplosion", class_id: 0, size_of: 0 }
Class { network_name: "CTEFizz", class_id: 0, size_of: 0 }
Class { network_name: "CTEFootprintDecal", class_id: 0, size_of: 0 }
Class { network_name: "CTEShatterSurface", class_id: 0, size_of: 0 }
Class { network_name: "CTEGlowSprite", class_id: 0, size_of: 0 }
Class { network_name: "CTEImpact", class_id: 0, size_of: 0 }
Class { network_name: "CTEKillPlayerAttachments", class_id: 0, size_of: 0 }
Class { network_name: "CTELargeFunnel", class_id: 0, size_of: 0 }
Class { network_name: "CTEMuzzleFlash", class_id: 0, size_of: 0 }
Class { network_name: "CTEParticleSystem", class_id: 0, size_of: 28 }
Class { network_name: "CTEPhysicsProp", class_id: 0, size_of: 0 }
Class { network_name: "CTEPlayerDecal", class_id: 0, size_of: 0 }
Class { network_name: "CTEProjectedDecal", class_id: 0, size_of: 0 }
Class { network_name: "CTEShowLine", class_id: 0, size_of: 0 }
Class { network_name: "CTESmoke", class_id: 0, size_of: 0 }
Class { network_name: "CTESparks", class_id: 0, size_of: 0 }
Class { network_name: "CTESprite", class_id: 0, size_of: 0 }
Class { network_name: "CTESpriteSpray", class_id: 0, size_of: 0 }
Class { network_name: "CTEWorldDecal", class_id: 0, size_of: 0 }
Class { network_name: "CTestTraceline", class_id: 0, size_of: 1368 }
Class { network_name: "CBaseObject", class_id: 0, size_of: 4024 }
Class { network_name: "CCurrencyPack", class_id: 0, size_of: 2224 }
Class { network_name: "CCaptureZone", class_id: 0, size_of: 1368 }
Class { network_name: "CFuncForceField", class_id: 0, size_of: 1360 }
Class { network_name: "CFuncPasstimeGoal", class_id: 0, size_of: 1376 }
Class { network_name: "CFuncRespawnRoom", class_id: 0, size_of: 1360 }
Class { network_name: "CFuncRespawnRoomVisualizer", class_id: 0, size_of: 1360 }
Class { network_name: "CMonsterResource", class_id: 0, size_of: 1384 }
Class { network_name: "CObjectCartDispenser", class_id: 0, size_of: 4088 }
Class { network_name: "CObjectDispenser", class_id: 0, size_of: 4088 }
Class { network_name: "CObjectSapper", class_id: 0, size_of: 4024 }
Class { network_name: "CObjectSentrygun", class_id: 0, size_of: 4152 }
Class { network_name: "CTFProjectile_SentryRocket", class_id: 0, size_of: 2264 }
Class { network_name: "CObjectTeleporter", class_id: 0, size_of: 4136 }
Class { network_name: "CTFAmmoPack", class_id: 0, size_of: 2240 }
Class { network_name: "CTFBuffBanner", class_id: 0, size_of: 2232 }
Class { network_name: "CTEFireBullets", class_id: 0, size_of: 0 }
Class { network_name: "CTFGlow", class_id: 0, size_of: 1384 }
Class { network_name: "CTFObjectiveResource", class_id: 0, size_of: 8744 }
Class { network_name: "CPasstimeBall", class_id: 0, size_of: 2240 }
Class { network_name: "CTFPasstimeLogic", class_id: 0, size_of: 1776 }
Class { network_name: "CTEPlayerAnimEvent", class_id: 0, size_of: 0 }
Class { network_name: "CTFPlayer", class_id: 0, size_of: 12328 }
Class { network_name: "CTFRagdoll", class_id: 0, size_of: 3400 }
Class { network_name: "CTFPlayerResource", class_id: 0, size_of: 6960 }
Class { network_name: "CTFTauntProp", class_id: 0, size_of: 3528 }
Class { network_name: "CTFTeam", class_id: 0, size_of: 1544 }
Class { network_name: "CBonusPack", class_id: 0, size_of: 2224 }
Class { network_name: "CCaptureFlag", class_id: 0, size_of: 3424 }
Class { network_name: "CCaptureFlagReturnIcon", class_id: 0, size_of: 2224 }
Class { network_name: "CBonusDuckPickup", class_id: 0, size_of: 2240 }
Class { network_name: "CHalloweenGiftPickup", class_id: 0, size_of: 2232 }
Class { network_name: "CHalloweenPickup", class_id: 0, size_of: 2224 }
Class { network_name: "CTFFlameManager", class_id: 0, size_of: 1784 }
Class { network_name: "CTETFBlood", class_id: 0, size_of: 0 }
Class { network_name: "CTETFExplosion", class_id: 0, size_of: 0 }
Class { network_name: "CTETFParticleEffect", class_id: 0, size_of: 0 }
Class { network_name: "CBonusRoundLogic", class_id: 0, size_of: 1656 }
Class { network_name: "CTFGameRulesProxy", class_id: 0, size_of: 1368 }
Class { network_name: "CTFGenericBomb", class_id: 0, size_of: 2256 }
Class { network_name: "CHalloweenSoulPack", class_id: 0, size_of: 1400 }
Class { network_name: "CTFItem", class_id: 0, size_of: 2248 }
Class { network_name: "CTFPowerupBottle", class_id: 0, size_of: 2704 }
Class { network_name: "CTFHalloweenMinigame", class_id: 0, size_of: 1648 }
Class { network_name: "CTFHalloweenMinigame_FallingPlatforms", class_id: 0, size_of: 1648 }
Class { network_name: "CTFMiniGame", class_id: 0, size_of: 1648 }
Class { network_name: "CTFMinigameLogic", class_id: 0, size_of: 1368 }
Class { network_name: "CPlayerDestructionDispenser", class_id: 0, size_of: 4088 }
Class { network_name: "CTFPlayerDestructionLogic", class_id: 0, size_of: 1960 }
Class { network_name: "CTFRobotDestructionLogic", class_id: 0, size_of: 1688 }
Class { network_name: "CTFRobotDestruction_RobotGroup", class_id: 0, size_of: 1648 }
Class { network_name: "CTFRobotDestruction_RobotSpawn", class_id: 0, size_of: 1368 }
Class { network_name: "CBaseObjectUpgrade", class_id: 0, size_of: 4024 }
Class { network_name: "CTFPointManager", class_id: 0, size_of: 1664 }
Class { network_name: "CTFBaseProjectile", class_id: 0, size_of: 2256 }
Class { network_name: "CTFProjectile_BallOfFire", class_id: 0, size_of: 2312 }
Class { network_name: "CTFPumpkinBomb", class_id: 0, size_of: 2248 }
Class { network_name: "CTFReviveMarker", class_id: 0, size_of: 2240 }
Class { network_name: "CRobotDispenser", class_id: 0, size_of: 4088 }
Class { network_name: "CTFRobotDestruction_Robot", class_id: 0, size_of: 3656 }
Class { network_name: "CTFViewModel", class_id: 0, size_of: 2384 }
Class { network_name: "CPasstimeGun", class_id: 0, size_of: 3208 }
Class { network_name: "CBotNPC", class_id: 0, size_of: 3600 }
Class { network_name: "CBotNPCMinion", class_id: 0, size_of: 3608 }
Class { network_name: "CTFBotHintEngineerNest", class_id: 0, size_of: 1368 }
Class { network_name: "CEyeballBoss", class_id: 0, size_of: 3640 }
Class { network_name: "CHeadlessHatman", class_id: 0, size_of: 3608 }
Class { network_name: "CMerasmus", class_id: 0, size_of: 3608 }
Class { network_name: "CMerasmusDancer", class_id: 0, size_of: 2216 }
Class { network_name: "CZombie", class_id: 0, size_of: 3576 }
Class { network_name: "CHightower_TeleportVortex", class_id: 0, size_of: 2248 }
Class { network_name: "CTeleportVortex", class_id: 0, size_of: 2248 }
Class { network_name: "CTFHellZap", class_id: 0, size_of: 1360 }
Class { network_name: "CTFProjectile_SpellBats", class_id: 0, size_of: 2344 }
Class { network_name: "CTFProjectile_SpellFireball", class_id: 0, size_of: 2272 }
Class { network_name: "CTFProjectile_SpellKartBats", class_id: 0, size_of: 2344 }
Class { network_name: "CTFProjectile_SpellKartOrb", class_id: 0, size_of: 2272 }
Class { network_name: "CTFProjectile_SpellLightningOrb", class_id: 0, size_of: 2280 }
Class { network_name: "CTFProjectile_SpellMeteorShower", class_id: 0, size_of: 2344 }
Class { network_name: "CTFProjectile_SpellMirv", class_id: 0, size_of: 2344 }
Class { network_name: "CTFProjectile_SpellPumpkin", class_id: 0, size_of: 2344 }
Class { network_name: "CTFProjectile_SpellSpawnBoss", class_id: 0, size_of: 2344 }
Class { network_name: "CTFProjectile_SpellSpawnHorde", class_id: 0, size_of: 2344 }
Class { network_name: "CTFProjectile_SpellSpawnZombie", class_id: 0, size_of: 2344 }
Class { network_name: "CTFProjectile_SpellTransposeTeleport", class_id: 0, size_of: 2344 }
Class { network_name: "CTFSpellBook", class_id: 0, size_of: 3200 }
Class { network_name: "NextBotCombatCharacter", class_id: 0, size_of: 3568 }
Class { network_name: "CBossAlpha", class_id: 0, size_of: 3584 }
Class { network_name: "CTFBaseBoss", class_id: 0, size_of: 3576 }
Class { network_name: "CTFTankBoss", class_id: 0, size_of: 3576 }
Class { network_name: "CMannVsMachineStats", class_id: 0, size_of: 1592 }
Class { network_name: "CTFProjectile_Arrow", class_id: 0, size_of: 2288 }
Class { network_name: "CTFProjectile_GrapplingHook", class_id: 0, size_of: 2296 }
Class { network_name: "CTFProjectile_HealingBolt", class_id: 0, size_of: 2288 }
Class { network_name: "CTFProjectile_EnergyBall", class_id: 0, size_of: 2288 }
Class { network_name: "CTFProjectile_Flare", class_id: 0, size_of: 2264 }
Class { network_name: "CTFProjectile_Rocket", class_id: 0, size_of: 2264 }
Class { network_name: "CTFWeaponBuilder", class_id: 0, size_of: 3192 }
Class { network_name: "C_TFWeaponBuilder", class_id: 0, size_of: 3192 }
Class { network_name: "CTFWeaponSapper", class_id: 0, size_of: 3200 }
Class { network_name: "CTFDroppedWeapon", class_id: 0, size_of: 2512 }
Class { network_name: "CTFProjectile_EnergyRing", class_id: 0, size_of: 2296 }
Class { network_name: "CTFBall_Ornament", class_id: 0, size_of: 2344 }
Class { network_name: "CTFBat", class_id: 0, size_of: 3160 }
Class { network_name: "CTFBat_Fish", class_id: 0, size_of: 3160 }
